segment,moment,shear,curvature,trench,te_km,moment_axis,shear_axis,kappa_axis,moment_max,shear_max,kappa_max
aleutian_01,1.45974e+15,-5.56758e+11,1.48357e-06,aleutian,7.36775,1.45974e+15,-5.56758e+11,-5.86578e-07,-3.69197e+15,-5.56758e+11,1.48357e-06
aleutian_02,1.82714e+15,-5.05335e+11,1.07606e-06,aleutian,7.98903,1.82714e+15,-5.05335e+11,-5.75896e-07,-3.41401e+15,-5.05335e+11,1.07606e-06
aleutian_03,3.60304e+15,-7.29517e+11,1.15269e-06,aleutian,8.82726,3.60304e+15,-7.29517e+11,-8.41871e-07,-4.93327e+15,-7.29517e+11,1.15269e-06
aleutian_04,6.13789e+15,-8.51953e+11,-1.25419e-06,aleutian,9.23075,6.13789e+15,-8.51953e+11,-1.25419e-06,6.13789e+15,-8.51953e+11,-1.25419e-06
aleutian_05,3.12273e+15,-6.32562e+11,1.0167e-06,aleutian,8.64555,3.12273e+15,-6.32562e+11,-7.76625e-07,-4.08806e+15,-6.32562e+11,1.0167e-06
aleutian_06,2.24281e+15,-3.23081e+11,-4.43833e-07,aleutian,9.32987,2.24281e+15,-3.23081e+11,-4.43833e-07,2.24281e+15,-3.23081e+11,-4.43833e-07
aleutian_07,2.10384e+16,-8.04688e+11,-5.77586e-07,aleutian,18.0226,2.10384e+16,-8.04688e+11,-5.77586e-07,2.10384e+16,-8.04688e+11,-5.77586e-07
hikurangi_01,1.27852e+18,-1.20274e+13,-6.84518e-07,hikurangi,66.9564,1.27852e+18,-1.20274e+13,-6.84518e-07,1.27852e+18,-1.20274e+13,-6.84518e-07
izu-bonin_01,1.10832e+16,-1.45483e+12,-2.01625e-06,izu-bonin,9.59529,1.10832e+16,-1.45483e+12,-2.01625e-06,1.10832e+16,-1.45483e+12,-2.01625e-06
izu-bonin_02,1.73654e+16,-1.77746e+12,-2.45035e-06,izu-bonin,10.4433,1.73654e+16,-1.77746e+12,-2.45035e-06,1.73654e+16,-1.77746e+12,-2.45035e-06
izu-bonin_03,1.93827e+16,-1.84089e+12,-2.44807e-06,izu-bonin,10.8363,1.93827e+16,-1.84089e+12,-2.44807e-06,1.93827e+16,-1.84089e+12,-2.44807e-06
izu-bonin_04,2.21686e+16,-1.99518e+12,-2.19032e-06,izu-bonin,11.7606,2.21686e+16,-1.99518e+12,-2.19032e-06,2.21686e+16,-1.99518e+12,-2.19032e-06
japan_01,5.1713e+15,-6.70855e+11,-8.79881e-07,japan,9.81168,5.1713e+15,-6.70855e+11,-8.79881e-07,5.1713e+15,-6.70855e+11,-8.79881e-07
japan_02,7.85992e+15,-8.32325e+11,-1.22954e-06,japan,10.0904,7.85992e+15,-8.32325e+11,-1.22954e-06,7.85992e+15,-8.32325e+11,-1.22954e-06
japan_03,7.67014e+15,-9.1389e+11,-1.1651e-06,japan,10.1898,7.67014e+15,-9.1389e+11,-1.1651e-06,7.67014e+15,-9.1389e+11,-1.1651e-06
kermadec_01,2.09811e+16,-1.40878e+12,-1.64934e-06,kermadec,12.6918,2.09811e+16,-1.40878e+12,-1.64934e-06,2.09811e+16,-1.40878e+12,-1.64934e-06
kermadec_02,1.4618e+16,-1.56247e+12,-2.30419e-06,kermadec,10.0649,1.4618e+16,-1.56247e+12,-2.30419e-06,1.4618e+16,-1.56247e+12,-2.30419e-06
kermadec_03,1.5236e+16,-1.65487e+12,-2.32555e-06,kermadec,10.1734,1.5236e+16,-1.65487e+12,-2.32555e-06,1.5236e+16,-1.65487e+12,-2.32555e-06
kermadec_04,1.50187e+16,-1.64292e+12,-2.45334e-06,kermadec,9.94587,1.50187e+16,-1.64292e+12,-2.45334e-06,1.50187e+16,-1.64292e+12,-2.45334e-06
kermadec_05,2.43914e+15,-8.51095e+11,2.27126e-06,kermadec,7.3734,2.43914e+15,-8.51095e+11,-9.77887e-07,-5.66519e+15,-8.51095e+11,2.27126e-06
kuril-kamchatka_01,8.3303e+15,-1.16524e+12,-1.68282e-06,kuril-kamchatka,9.26599,8.3303e+15,-1.16524e+12,-1.68282e-06,8.3303e+15,-1.16524e+12,-1.68282e-06
