trench,age_ma,te_km,rms_fit_m
aleutian,108.668,7.36775,95.0555
aleutian,49.292,7.98903,78.7551
aleutian,57.437,8.82726,41.9958
aleutian,62.650,9.23075,40.4421
aleutian,55.485,8.64555,48.3676
aleutian,48.678,9.32987,84.5827
aleutian,38.396,18.0226,112.608
kuril_kamchatka,132.492,9.26599,84.7082
kuril_kamchatka,126.116,7.54878,103.619
kuril_kamchatka,117.589,7.15897,62.0512
kuril_kamchatka,112.312,13.1245,227.255
kuril_kamchatka,107.511,4.02301,133.909
japan,134.189,9.81168,74.874
japan,137.514,10.0904,97.7364
japan,136.052,10.1898,123.104
izu_bonin,141.130,9.59529,140.497
izu_bonin,144.028,10.4433,78.2925
izu_bonin,138.335,10.8363,67.7561
izu_bonin,134.206,11.7606,126.985
mariana,155.435,19.5621,378.657
mariana,156.661,9.62635,124.296
mariana,155.440,10.557,138.86
mariana,149.541,6.56912,256.745
mariana,145.858,8.8067,143.858
mariana,142.003,9.94398,169.038
yap,145.352,4.37146,234.499
yap,146.313,8.59603,229.571
yap,150.948,11.9199,312.932
palau,11.569,8.55964,144.466
ryukyu,59.235,6.40863,239.124
ryukyu,75.225,5.87294,126.14
ryukyu,69.888,7.65951,126.261
manila,,6.64816,186.316
manila,25.824,48.1867,726.252
philippine,63.166,7.84549,108.688
philippine,69.744,8.83149,81.6928
philippine,75.751,8.65085,78.0419
philippine,79.965,8.13463,343.76
philippine,,11.1988,190.651
new_britain,50.180,29.778,749.234
new_britain,42.973,22.5576,485.8
new_britain,41.386,18.4213,506.834
san_cristobal,1.442,8.67144,237.913
san_cristobal,36.862,11.0676,222.488
vanuatu,39.937,27.5651,354.398
vanuatu,38.636,24.4988,458.917
vanuatu,33.694,10.1983,287.834
vanuatu,29.041,16.7298,313.72
tonga,92.086,10.1139,82.8115
tonga,97.314,10.6594,84.7605
tonga,105.831,9.13129,156.357
tonga,111.888,10.578,128.197
kermadec,89.591,12.6918,69.4616
kermadec,105.007,10.0649,105.528
kermadec,114.036,10.1734,111.607
kermadec,119.865,9.94587,94.2494
kermadec,126.007,7.3734,102.125
hikurangi,127.966,66.9564,328.868
puysegur,40.174,4.79835,106.494
middle_america,21.760,7.98646,58.5978
middle_america,23.012,7.66338,66.5857
middle_america,23.012,7.44104,75.1877
middle_america,13.773,9.36533,72.023
middle_america,11.226,10.9006,111.443
middle_america,2.156,4.88363,145.229
peru_chile,21.986,8.89716,69.7638
peru_chile,43.887,9.2743,73.0356
peru_chile,51.674,9.82148,96.0194
peru_chile,28.553,8.6403,130.492
peru_chile,11.206,9.97084,127.79
vityaz,105.649,8.82727,415.423
