segment,n,Te,Te_trench,Te_sea,Te_ratio,x_b,w_b,R,alpha,rms
aleutian_01,12,29.124546471497407,17.738068177259734,28.623896373804165,0.5723280341845877,91.0,828.5048804420942,1.9528499042786192,72.48854557760362,153.7850513933401
aleutian_02,12,29.041990152637,17.822670068487323,30.35512527595086,0.4682588733987143,93.5,759.4512276408909,2.0209238534273677,72.33417963050557,157.13622399870468
aleutian_03,12,34.67581476141525,12.244885024598364,56.568423785464155,0.21646148513943242,91.0,659.9357085824714,2.0308190008190317,82.62220936182567,131.5980815026355
aleutian_04,12,47.59136781173899,23.8045645181519,54.43678166070605,0.31939963430657864,128.5,532.4540408689013,2.8602810739864095,104.71082193824112,151.0965499505736
aleutian_05,12,14.925683013197453,6.114078158617097,52.966206314098784,0.17840364193228295,88.5,315.826675961208,4.9595480251735555,43.906445304456525,111.25710060112003
aleutian_06,12,18.732630311501502,7.988697841949708,22.662292301503673,0.41501242249536663,96.0,260.8995754747863,6.860671800379034,52.05952990611803,121.41526539058458
aleutian_07,12,11.56496158723343,4.45790458597028,35.826774317596254,0.10876039889363472,73.5,186.75867455972627,10.242400343176895,36.22033873712208,83.04524694407226
aleutian_08,12,7.493361824843429,15.31745246731019,67.80392472306386,0.29758568015136744,78.5,90.18799370789102,23.45915596956913,26.186632876628217,98.26048581632163
aleutian_09,12,33.82940653523535,8.415535405651557,72.71249929941993,0.12860569973047342,146.0,200.7730130863821,10.824517084631308,81.10437278087934,94.00106368857462
aleutian_10,12,33.12678449349853,13.46622233570142,42.90517860889789,0.26422761569305103,128.5,300.3154584867493,6.52446209473015,79.82666029600588,94.09138472744766
aleutian_11,12,32.565137753655314,12.557225293789532,40.57254405191573,0.2771708324127711,108.5,468.060485561144,3.6886254429318037,78.81687805107279,96.1721243265868
aleutian_12,12,43.47873860567634,11.78875910672541,72.0746582500592,0.19485488141094165,138.5,281.14440482758096,5.468336182592011,97.90052213585909,72.12375067919447
aleutian_13,12,54.14615122469833,10.960445567222983,53.291722903720775,0.14128628645980904,151.0,308.2652843153153,3.5659267132789427,115.4075839857367,72.45163161959897
aleutian_14,11,62.980587787067975,23.58133935999733,75.46090448187675,0.312497438533364,116.0,612.2610600297171,0.6176188691967096,129.26551870314884,108.81934567707759
aleutian_16,11,46.13245837177824,49.698805907017295,43.899396144379594,0.47241398481775343,146.0,686.5889025834653,0.9259232776611239,102.34876579998277,259.92696090545013
izu-bonin_01,14,19.777668531990294,24.16808189498841,51.00732961494314,0.5373289674982655,78.5,1060.6212910854656,3.1862488539670917,54.10843002535521,718.6455758657117
izu-bonin_02,14,59.407105477415385,42.36336161952746,42.50520017176368,0.9208836459538509,166.0,1281.5355132876916,2.7067837837605033,123.5119939338517,572.6973800136718
izu-bonin_03,14,12.503199232258128,12.428755874649173,43.98135162380878,0.2361234546996124,108.5,131.07683800745534,26.771836796617894,38.44521341064181,212.29227800498379
izu-bonin_04,14,24.084028761453492,27.109531200486934,65.94680887315566,0.3697711942267171,111.0,571.0248128999438,5.672154873240158,62.8579536197565,131.90583481534335
izu-bonin_05,14,17.3565725131453,24.440049803319802,40.20655695972211,0.7960472123154292,106.0,206.20602201933264,17.920479578919018,49.11068269259838,154.99759109712977
izu-bonin_06,14,23.675172738129124,16.213594232216224,33.9000116261414,0.468724696240535,121.0,429.99177006319763,7.924479967516605,62.05690636941186,175.30817136424028
izu-bonin_07,14,28.623254098765585,10.9485385540729,34.494470893796866,0.31715565206780394,121.0,652.3120500957621,4.722288023002996,71.52031639190781,188.33351393742558
japan_01,16,69.66152517286594,38.85567288857595,31.72503064091748,1.3287745044831922,166.0,625.4812545369692,2.521062949919851,139.41786300659123,81.9728421030378
japan_02,16,58.14743687585678,43.02733820299754,43.68780086219523,1.163839831456443,146.0,519.5502553957838,2.5905233448099234,121.7518423896634,62.7536435931151
japan_03,16,27.836501418877667,10.045479325471739,15.180645059618104,0.32160369667897293,146.0,250.00094218280617,8.261785442429947,70.05202057079453,231.8240819114235
japan_04,15,28.731888333598814,9.272478129823025,38.10902668546172,0.42015753970975284,116.0,361.02276767833615,4.659532682934308,71.75477194696684,219.37333316861665
japan_05,15,43.97577198150645,33.41047716825325,26.599200889998112,0.7750165011180133,136.0,625.8875223177348,3.2015282430827203,98.7387818902013,195.53129812945744
kermadec_01,14,72.15114585820936,24.129008000480795,29.979111002788727,0.5409198879554344,286.0,169.62128327534532,13.88627667919113,143.13445834246127,112.54464505891231
kermadec_02,14,45.00885576703864,20.452273390726923,28.421361094421368,0.6882259148637083,188.5,149.2840323118563,14.743133361312555,100.47318727527872,127.68319221569527
kermadec_03,14,31.63938291933099,18.50823866854389,13.58682785573049,1.9658339394531217,163.5,164.43744439977962,18.055734800924895,77.09197537712097,174.96692610775833
kermadec_04,14,30.23788661431385,10.122317729382235,41.22585257602963,0.22923608349139796,158.5,228.60719158431436,17.4827356029906,74.55738554400975,248.72455626778736
kermadec_05,14,19.392621611595246,23.443210837086188,42.117808393510714,0.2794725884339212,113.5,595.876636236015,6.80554124638466,53.420734444497114,290.51816378233127
kermadec_06,14,12.554439744857511,14.227470400231065,40.531944871620944,0.28175131913891166,111.0,125.99663981826993,28.296410911680848,38.56330838978002,378.25637018713974
kermadec_07,14,81.42386480803654,14.337068485290857,31.13489829859209,0.35437986680451616,206.0,1371.462719952823,3.1152875821428383,156.72598427954762,461.4521243232527
kermadec_08,14,17.978208730279988,45.636330520525746,84.7783675563955,0.9117756879901487,93.5,1168.828236008492,3.064515541906177,50.464152011455624,423.95466329167544
