segment,n_all,n_above,mc,b,sigma_b,mmax,mdot,n,dip,depth_med,depth_iqr,shallow_frac,outer_rise,f_thrust,f_normal,f_strike-slip,f_oblique,trench,w_b,Te,age_Ma,type
aleutian_01,409,272,5.199999999999999,0.8164784287924,0.04438680280021052,7.87,265921876706442.6,409.0,39.38744124146353,28.4,18.8,0.9193154034229828,0.0122249388753056,0.7555012224938875,0.0660146699266503,0.0366748166259168,0.1418092909535452,aleutian,828.5048804420942,29.124546471497407,55.0604004503,1.0
aleutian_02,135,71,5.299999999999999,0.9742467050594266,0.1250647486046783,7.94,173053806894641.5,135.0,44.851948108809886,35.7,30.65,0.9481481481481482,0.0222222222222222,0.8222222222222222,0.0666666666666666,0.0,0.1111111111111111,aleutian,759.4512276408909,29.041990152637,56.5821528028,1.0
aleutian_03,201,106,5.299999999999999,1.0849685383394896,0.09339966185496822,6.97,18062448840988.605,201.0,52.720972988473775,21.8,17.1,0.9552238805970148,0.0149253731343283,0.8507462686567164,0.0547263681592039,0.0149253731343283,0.0796019900497512,aleutian,659.9357085824714,34.67581476141525,56.8811732782,1.0
aleutian_04,48,14,5.599999999999998,,,7.25,18949467421554.42,48.0,,33.25,16.849999999999998,0.8958333333333334,0.0208333333333333,0.6041666666666666,0.0416666666666666,0.0208333333333333,0.3333333333333333,aleutian,532.4540408689013,47.59136781173899,62.0441554095,1.0
aleutian_05,111,45,5.299999999999999,,,6.9,7687583974127.385,111.0,,21.4,16.450000000000003,0.981981981981982,0.036036036036036,0.8648648648648649,0.063063063063063,0.045045045045045,0.027027027027027,aleutian,315.826675961208,14.925683013197451,60.2821446271,1.0
aleutian_06,135,97,5.199999999999999,0.927897901863774,0.07993687356435149,6.94,19010533216894.137,135.0,36.81071967273005,20.0,18.25,0.9481481481481482,0.037037037037037,0.7851851851851852,0.1111111111111111,0.0222222222222222,0.0814814814814814,aleutian,260.8995754747863,18.732630311501502,58.2140529502,1.0
aleutian_07,56,34,5.299999999999999,,,6.87,6376280172385.054,56.0,26.52142754491933,25.35,37.725,0.8392857142857143,0.0357142857142857,0.6428571428571429,0.2321428571428571,0.0,0.125,aleutian,186.75867455972627,11.56496158723343,55.68243695625,1.0
aleutian_08,75,38,5.199999999999999,,,6.61,4213369331853.878,75.0,,21.8,15.05,0.9466666666666668,0.04,0.7866666666666666,0.08,0.0666666666666666,0.0666666666666666,aleutian,90.18799370789102,7.493361824843429,53.7675909518,1.0
aleutian_09,52,33,5.299999999999999,,,6.92,8468854998852.476,52.0,,36.95,18.924999999999997,1.0,0.0769230769230769,0.75,0.0961538461538461,0.0384615384615384,0.1153846153846153,aleutian,200.7730130863821,33.82940653523535,52.43169515605,1.0
aleutian_10,58,34,5.199999999999999,,,7.85,158564093701467.75,58.0,,35.849999999999994,22.125,1.0,0.0172413793103448,0.6551724137931034,0.0517241379310344,0.1206896551724138,0.1724137931034483,aleutian,300.3154584867493,33.12678449349853,51.93715171855,1.0
