segment,trench,zone,w_b,Te,mdot,mmax,outer_rise,depth_med
aleutian_01,aleutian,4,828.5048804420942,29.124546471497407,14.424754067087381,7.87,0.0122249388753056,28.4
aleutian_02,aleutian,4,759.4512276408909,29.041990152637,14.238181157488285,7.94,0.0222222222222222,35.7
aleutian_03,aleutian,2,659.9357085824714,34.67581476141525,13.25677663003237,6.97,0.0149253731343283,21.8
aleutian_04,aleutian,4,532.4540408689013,47.59136781173899,13.277597008545232,7.25,0.0208333333333333,33.25
aleutian_05,aleutian,2,315.826675961208,14.925683013197451,12.885789872757583,6.9,0.036036036036036,21.4
aleutian_06,aleutian,2,260.8995754747863,18.732630311501502,13.278994298343987,6.94,0.037037037037037,20.0
aleutian_07,aleutian,2,186.75867455972627,11.56496158723343,12.80456739161383,6.87,0.0357142857142857,25.35
aleutian_08,aleutian,2,90.18799370789102,7.493361824843429,12.624629529802347,6.61,0.04,21.8
aleutian_09,aleutian,2,200.7730130863821,33.82940653523535,12.927824697072824,6.92,0.0769230769230769,36.95
aleutian_10,aleutian,4,300.3154584867493,33.12678449349853,14.200204849609715,7.85,0.0172413793103448,35.849999999999994
aleutian_11,aleutian,4,468.060485561144,32.565137753655314,14.643535728493031,8.25,0.03125,33.1
aleutian_13,aleutian,2,308.2652843153153,54.14615122469833,12.937274655596239,6.8,0.0,28.7
aleutian_14,aleutian,2,612.2610600297171,62.980587787067975,13.087152654506479,6.96,0.0,18.85
izu-bonin_01,izu-bonin,2,1060.6212910854656,19.77766853199029,12.48587076010414,6.55,0.0384615384615384,57.6
izu-bonin_02,izu-bonin,3,1281.5355132876916,59.407105477415385,13.451177532262312,7.43,0.4754098360655737,17.3
izu-bonin_03,izu-bonin,2,131.07683800745534,12.503199232258128,12.327441091277477,6.53,0.1063829787234042,16.6
izu-bonin_04,izu-bonin,2,571.0248128999438,24.08402876145349,12.808088145279543,6.81,0.0526315789473684,18.95
izu-bonin_05,izu-bonin,2,206.20602201933264,17.3565725131453,12.781128569694037,6.35,0.079646017699115,17.1
izu-bonin_06,izu-bonin,2,429.9917700631976,23.675172738129124,12.43150740858935,6.15,0.0224719101123595,22.9
izu-bonin_07,izu-bonin,2,652.3120500957621,28.623254098765585,13.054847265688535,6.81,0.1666666666666666,16.4
japan_01,japan,4,625.4812545369692,69.66152517286594,14.098605935665956,7.73,0.0235690235690235,27.7
japan_02,japan,3,519.5502553957838,58.14743687585678,13.997996663346875,7.59,0.0666666666666666,29.75
japan_03,japan,4,250.00094218280617,27.836501418877667,15.889241401109643,9.08,0.1336405529953917,19.6
japan_04,japan,2,361.02276767833615,28.73188833359881,13.524465164123933,7.1,0.0211480362537764,27.9
japan_05,japan,4,625.8875223177348,43.97577198150645,14.169799751570807,7.89,0.0025188916876574,36.1
kermadec_01,kermadec,3,169.62128327534532,72.15114585820936,13.640958461467005,7.25,0.0852713178294573,18.4
kermadec_02,kermadec,2,149.2840323118563,45.00885576703864,12.977514423990526,6.86,0.0185185185185185,25.0
kermadec_03,kermadec,4,164.43744439977962,31.63938291933099,13.434268908058211,7.4,0.034090909090909,21.6
kermadec_04,kermadec,4,228.6071915843144,30.23788661431385,13.700572189871888,7.44,0.0105263157894736,21.3
kermadec_05,kermadec,4,595.876636236015,19.39262161159525,13.788695676230896,7.29,0.0247678018575851,33.7
kermadec_06,kermadec,4,125.99663981826993,12.554439744857511,14.638135119368442,8.07,0.0662100456621004,23.05
kermadec_07,kermadec,3,1371.462719952823,81.42386480803654,14.432750109015931,7.88,0.0576368876080691,19.2
kermadec_08,kermadec,2,1168.828236008492,17.978208730279988,13.166348772508947,6.96,0.0185185185185185,18.75
kermadec_09,kermadec,4,827.9721413538683,21.035844896392653,14.089667889019077,7.84,0.0408163265306122,74.85
kermadec_10,kermadec,4,202.80837408488264,16.546567196726095,14.04836714941542,7.57,0.048780487804878,22.7
kuril-kamchatka_01,kuril-kamchatka,4,482.88321943139726,23.177657089741217,14.729858903415604,8.26,0.0054644808743169,42.7
kuril-kamchatka_03,kuril-kamchatka,4,413.56724388539794,28.2068660381632,14.684519124096944,8.25,0.0048780487804878,51.9
kuril-kamchatka_06,kuril-kamchatka,4,714.2403343709535,36.38905014259448,13.882728592300476,7.56,0.0122699386503067,32.8
kuril-kamchatka_07,kuril-kamchatka,3,1033.0541822700238,71.22052424746563,14.436871994730238,8.1,0.0730337078651685,19.15
kuril-kamchatka_08,kuril-kamchatka,3,812.5402356194626,56.21599545966576,14.738716179024461,8.3,0.1073825503355704,26.0
kuril-kamchatka_09,kuril-kamchatka,2,650.1176244238231,45.505043580148914,13.001197748751522,6.48,0.0056818181818181,40.9
kuril-kamchatka_10,kuril-kamchatka,4,304.1383798572523,46.27880344660272,13.538242572368008,7.48,0.0266666666666666,43.4
kuril-kamchatka_11,kuril-kamchatka,2,552.9224863635184,45.257908072536026,13.036316139472742,6.82,0.0526315789473684,51.9
kuril-kamchatka_12,kuril-kamchatka,4,194.31840785803368,11.352812222017128,13.671638206604062,7.47,0.0212765957446808,34.95
kuril-kamchatka_13,kuril-kamchatka,2,173.25509987627203,19.922898488196136,13.062491634473664,6.84,0.0,31.0
kuril-kamchatka_14,kuril-kamchatka,2,443.82578239652463,24.104476642247835,12.477678741373497,6.42,0.0416666666666666,42.1
kuril-kamchatka_15,kuril-kamchatka,4,1028.7793218161155,33.126001897445086,14.08856750045636,7.75,0.0582010582010582,26.1
manila_06,manila,2,836.6195287504889,41.203303119847206,12.595528373878336,6.58,0.0,26.4
manila_07,manila,2,258.3491492947699,20.24880519683057,13.149459024684733,6.68,0.1174242424242424,27.05
mariana_01,mariana,2,170.98916750605832,19.95642693452853,12.47184255751188,6.01,0.0069444444444444,16.15
mariana_02,mariana,4,159.27169933361387,16.470516628334604,13.994781961882746,7.76,0.0116279069767441,41.2
mariana_03,mariana,2,944.7234427137782,40.25679377245042,12.708381942985191,6.47,0.0089285714285714,30.05
mariana_04,mariana,2,544.7784273155281,29.03769591901942,12.346974008014703,6.5,0.0,15.0
mariana_05,mariana,3,1460.4291391024226,12.691441504016597,13.424567021095674,7.41,0.2564102564102564,15.0
mariana_06,mariana,2,1593.4938546436206,33.01725726169127,12.310613389075426,6.46,0.1052631578947368,18.45
mariana_07,mariana,2,109.45419768742316,36.11584800140666,12.681318429439356,6.51,0.03,36.55
mariana_09,mariana,1,2002.9431402853693,29.758259733584044,13.276296981794985,7.25,0.0317460317460317,139.0
mariana_10,mariana,2,755.0571154042681,37.92203607927348,12.173794608251027,6.26,0.0,23.6
mariana_11,mariana,2,116.45366461884676,43.78986410851366,12.365773708556548,6.58,0.0238095238095238,15.0
mariana_12,mariana,4,57.45671286946473,31.87481449915537,13.89702331354676,7.61,0.0217391304347826,26.85
mariana_13,mariana,2,556.0326273144348,6.913928085698944,12.474873712006541,6.54,0.0,31.6
middle_america_01,middle_america,4,57.28179849207599,4.603272828255717,14.11788044790409,7.71,0.0195530726256983,38.3
middle_america_02,middle_america,4,52.75180724623426,4.96343236824802,13.789774249329271,7.37,0.0038022813688212,26.3
middle_america_03,middle_america,2,48.57872027812107,5.620023072717938,13.098506039841785,6.84,0.0061349693251533,28.0
middle_america_04,middle_america,4,148.53312261085273,13.135779527869962,14.61922839411422,8.23,0.0,31.1
middle_america_05,middle_america,4,540.3037762485563,32.93941429753217,13.991423210056633,7.75,0.064516129032258,24.0
middle_america_06,middle_america,4,491.31392621966535,52.10972326140002,13.756694631712692,7.46,0.0097087378640776,19.4
middle_america_07,middle_america,2,241.57094589974164,25.89053171269789,13.492703524241342,7.35,0.074074074074074,24.65
middle_america_08,middle_america,2,74.14289854310923,11.8887502309229,13.347912159922707,7.27,0.0,27.2
middle_america_09,middle_america,4,42.43781345959613,8.131764542609542,14.326014786532637,7.96,0.0,49.0
middle_america_10,middle_america,2,44.04525455730922,23.116097083887745,13.42557682801647,7.16,0.0,32.0
middle_america_11,middle_america,3,983.7161324735456,89.84353308204459,13.510380802565598,7.47,0.0638297872340425,18.0
new_britain_01,new_britain,4,1508.7304799328908,63.68416837616967,13.923569388563532,7.39,0.0042016806722689,47.15
new_britain_02,new_britain,2,226.04037528175536,23.17220469727877,13.593085625951181,7.32,0.0909090909090909,27.0
new_britain_03,new_britain,4,228.2072620055203,27.33685490242084,14.139935206216732,7.46,0.0588235294117647,32.0
new_britain_04,new_britain,4,175.20536348798123,43.49317378862271,14.89248669945947,8.0,0.0440060698027314,40.0
new_hebrides_01,new_hebrides,4,1109.153134486165,27.21209418373944,14.71304470556041,7.82,0.0113122171945701,48.95
new_hebrides_04,new_hebrides,4,172.50285184002087,46.35914798834944,14.140066930591917,7.42,0.0205992509363295,22.1
new_hebrides_05,new_hebrides,2,190.0218347731937,35.90400366423635,13.596588103538332,7.3,0.06,31.0
new_hebrides_06,new_hebrides,3,2077.7344361763685,99.43840212240283,14.017312971653418,7.38,0.0787878787878787,28.7
new_hebrides_07,new_hebrides,3,2406.1040097102787,85.07439204810754,14.112078086832126,7.53,0.3398692810457516,18.75
new_hebrides_08,new_hebrides,3,2487.456112354016,120.22174086922064,14.275269873830775,7.67,0.1870967741935484,19.05
new_hebrides_09,new_hebrides,3,145.49580205643036,60.34162312830313,13.889648705136482,7.68,0.1153846153846153,21.3
peru-chile_01,peru-chile,4,35.79994939941949,10.06306678238992,15.421572386703195,8.78,0.0607476635514018,19.15
peru-chile_02,peru-chile,4,391.231036226488,14.543590592400072,14.226422915090202,7.94,0.0081967213114754,23.2
peru-chile_03,peru-chile,4,424.59360065698223,27.998191125541663,13.694526615724266,7.37,0.0138888888888888,33.95
peru-chile_04,peru-chile,4,94.85995503773552,19.87833136185064,14.679025581764867,8.27,0.014388489208633,35.4
