segment,trench,n_profiles,n_samples,w0_m,te_km,loss_data,loss_phys,loss_bc,rms_fit_m,mad_profiles_m
aleutian_01,aleutian,8,538,1601.9948480176208,7.36774914996742,0.0035207261868446292,0.03013899485736983,7.308333067623486e-10,95.05549774978664,58.980887114537154
aleutian_02,aleutian,8,537,1462.0941442731282,7.989033130554138,0.0029013905581840665,0.011372035443015172,1.13421600498498e-07,78.755054152295,79.61409801762147
aleutian_03,aleutian,8,537,1832.8358601321593,8.827263421336568,0.0005250062877200492,0.0008524869659311074,4.7139209573186666e-07,41.99579680879864,30.214422907488824
aleutian_04,aleutian,8,543,2061.039008810573,9.230749988129087,0.00038502984784358213,0.0014096979204006122,7.611126696691665e-10,40.44207316037794,39.556841409690605
aleutian_05,aleutian,8,546,1614.3424251101324,8.645547457259145,0.0008976712554827717,0.006111105496916935,8.231852138563538e-08,48.36757565208607,37.690464207048535
aleutian_06,aleutian,8,550,693.8334162995598,9.329874321768656,0.014861164974564125,0.09230353020486268,2.921264853223475e-06,84.58271865237381,117.38876872246692
aleutian_07,aleutian,7,550,755.6057929515418,18.02257659809794,0.022209788737581195,0.001163167529146026,9.822400124458728e-07,112.60754557908045,52.31568061673988
hikurangi_01,hikurangi,6,540,2907.295810572687,66.95644064192315,0.012795694058630465,0.0019032534294407108,1.9246062622239083e-06,328.86764343907987,46.02194493392072
izu-bonin_01,izu-bonin,8,549,3306.7090969162996,9.595293785121092,0.0018052656547019128,0.0005285783373564501,3.6917043672957652e-09,140.49683794681135,410.90494493392043
izu-bonin_02,izu-bonin,8,550,3513.8588480176218,10.443272039871513,0.0004964450591689991,0.0015644913865888494,4.561344819099139e-08,78.2924544399656,77.14144878854631
izu-bonin_03,izu-bonin,8,547,3418.7120682819377,10.836315052082915,0.00039279967428844885,0.0015776273038614408,9.043580762378039e-08,67.75605073837288,89.54294933920664
izu-bonin_04,izu-bonin,8,542,3132.921317180617,11.760575846917382,0.001642887699696098,0.003987028599129785,1.927588578410988e-07,126.98529342039936,41.01463931718058
japan_01,japan,8,546,1423.7685462555069,9.811684686884089,0.0027655626028013918,0.01743228532967972,5.702533470349882e-07,74.87401829956902,64.20373127753328
japan_02,japan,8,550,1749.5267731277536,10.090433618329333,0.0031208396968610565,0.001684131518904266,3.993635799799597e-08,97.73639671227625,48.806833700441075
japan_03,japan,8,534,1798.5191872246692,10.189766271032962,0.00468508272691744,0.01136966172302899,2.754157753858848e-08,123.10443728563338,87.76145814977963
kermadec_01,kermadec,8,551,2214.773795154185,12.691826354524865,0.000983627100626079,0.0019553629196229594,1.2905373964437488e-07,69.46157384993762,92.57442951541816
kermadec_02,kermadec,8,551,3401.942863436124,10.064859633518168,0.0009622419755997029,0.0005984069393721767,5.743913878517745e-08,105.52835402124136,72.75307709251092
kermadec_03,kermadec,8,545,3452.0837114537444,10.173406399910355,0.0010452461034163982,0.0003960379436420884,8.751374912922676e-09,111.60678484767392,111.88229295154179
kermadec_04,kermadec,8,548,3673.740218061674,9.945871669598054,0.0006581726942536964,0.0009684774727948327,6.010010498241115e-08,94.24935201872945,108.36191905286341
kermadec_05,kermadec,8,549,2974.398309471365,7.373396735950778,0.0011788628637855053,0.0012892787390198727,6.148361739418224e-08,102.12469418504938,81.30474008810552
kuril-kamchatka_01,kuril-kamchatka,8,549,2712.394264317181,9.265993774737385,0.0009753157321663812,0.0049192783839161845,5.87580487162228e-08,84.7081958644794,106.93210352422875
kuril-kamchatka_02,kuril-kamchatka,8,549,2540.1142466960355,7.548776635555282,0.0016640587892862413,0.01350685357016745,2.339450152482148e-08,103.61856726393123,107.6349977973573
kuril-kamchatka_03,kuril-kamchatka,8,547,1490.2170892070485,7.15897004569155,0.0017338083784727845,0.006557108441006503,3.864950259413662e-08,62.05118619490138,86.20825770925012
kuril-kamchatka_04,kuril-kamchatka,8,547,2931.0061475770917,13.124463519947117,0.006011646596960471,0.013846322199057954,1.748037512408449e-08,227.2550016467601,465.4100914096907
kuril-kamchatka_05,kuril-kamchatka,5,547,1017.45149339207,4.023013855629666,0.017321856866209035,0.13367565121381958,2.954344471858409e-07,133.90936061026736,90.59886784140872
manila_01,manila,8,545,1220.169317180617,6.6481590446560075,0.023316434285882634,0.004059396253782538,5.515222302585986e-07,186.3164358543385,293.76361233480213
manila_02,manila,8,550,3433.6791189427313,48.18667354933093,0.044735766702931105,0.050730522771948214,1.3933458341407022e-05,726.2516797370085,313.62423458149794
mariana_01,mariana,8,549,6440.062629955946,19.562069216659975,0.0034571018527761216,0.019273367559042475,4.0305884699028825e-07,378.65716442245946,411.48098237885415
mariana_02,mariana,8,550,3654.614774229075,9.62635210595024,0.0011567298134742194,0.0002663507711674941,1.607746168036184e-08,124.29611947484219,86.31262885462502
mariana_03,mariana,8,549,3024.833275330397,10.556958477844107,0.002107430507288245,0.002701053059088402,3.6197604458993665e-08,138.8602917049075,389.3329812775328
mariana_04,mariana,8,549,1742.4297973568282,6.569124424117021,0.02171163598053061,0.04344246502427658,4.45876344786782e-06,256.7447453129477,349.0719162995597
