trench,profile,xl_km,xs_km,te_km
aleutian,aleutian_0000,0.0,80.0,16.03843239125907
aleutian,aleutian_0000,0.0,100.0,13.045819883493518
aleutian,aleutian_0000,0.0,120.0,13.486777771129825
aleutian,aleutian_0000,0.0,140.0,13.15247945927528
aleutian,aleutian_0000,0.0,160.0,12.748121093826951
aleutian,aleutian_0000,0.0,180.0,12.527501196597687
aleutian,aleutian_0000,0.0,200.0,12.07366705822736
aleutian,aleutian_0000,0.0,220.0,11.854744961934733
aleutian,aleutian_0000,0.0,240.0,11.733685656894783
aleutian,aleutian_0000,0.0,260.0,11.592488447723442
aleutian,aleutian_0000,0.0,280.0,11.43093645742341
aleutian,aleutian_0000,0.0,300.0,11.23235521853159
aleutian,aleutian_0000,0.0,320.0,11.07994880914023
aleutian,aleutian_0000,0.0,340.0,10.950134834234854
aleutian,aleutian_0000,0.0,360.0,10.856628671513679
aleutian,aleutian_0000,0.0,380.0,10.783193751103175
aleutian,aleutian_0000,0.0,400.0,10.627578348486274
aleutian,aleutian_0000,0.0,420.0,10.563047255872657
aleutian,aleutian_0000,0.0,440.0,10.538033104824011
aleutian,aleutian_0000,0.0,460.0,10.491087713468586
aleutian,aleutian_0000,0.0,480.0,10.484635862715104
aleutian,aleutian_0000,0.0,500.0,10.4563896724715
aleutian,aleutian_0000,0.0,520.0,10.408464324889378
aleutian,aleutian_0000,0.0,540.0,10.346211074366945
aleutian,aleutian_0000,5.0,100.0,11.184035565477064
aleutian,aleutian_0000,5.0,120.0,11.780019900119786
aleutian,aleutian_0000,5.0,140.0,11.550207474766655
aleutian,aleutian_0000,5.0,160.0,11.217588618914382
aleutian,aleutian_0000,5.0,180.0,11.030335100720713
aleutian,aleutian_0000,5.0,200.0,10.668042879722012
aleutian,aleutian_0000,5.0,220.0,10.471985747835
aleutian,aleutian_0000,5.0,240.0,10.337076601152853
aleutian,aleutian_0000,5.0,260.0,10.166851800804553
aleutian,aleutian_0000,5.0,280.0,9.972972048473839
aleutian,aleutian_0000,5.0,300.0,9.749430015560371
aleutian,aleutian_0000,5.0,320.0,9.587582791995493
aleutian,aleutian_0000,5.0,340.0,9.455062829262735
aleutian,aleutian_0000,5.0,360.0,9.35878705861473
aleutian,aleutian_0000,5.0,380.0,9.283518566579415
aleutian,aleutian_0000,5.0,400.0,9.12481006633021
aleutian,aleutian_0000,5.0,420.0,9.058321874059178
aleutian,aleutian_0000,5.0,440.0,9.032039309366521
aleutian,aleutian_0000,5.0,460.0,8.983993135668426
aleutian,aleutian_0000,5.0,480.0,8.977795117272548
aleutian,aleutian_0000,5.0,500.0,8.947528223428689
aleutian,aleutian_0000,5.0,520.0,8.898543364795676
aleutian,aleutian_0000,5.0,540.0,8.835247335354675
aleutian,aleutian_0000,10.0,100.0,9.739686251516234
aleutian,aleutian_0000,10.0,120.0,10.411746147108348
aleutian,aleutian_0000,10.0,140.0,10.21267934420823
aleutian,aleutian_0000,10.0,160.0,9.913753928889623
aleutian,aleutian_0000,10.0,180.0,9.746654693563796
aleutian,aleutian_0000,10.0,200.0,9.437147084207647
aleutian,aleutian_0000,10.0,220.0,9.233696948483663
aleutian,aleutian_0000,10.0,240.0,9.067925831986873
aleutian,aleutian_0000,10.0,260.0,8.858149449432979
aleutian,aleutian_0000,10.0,280.0,8.635689872054543
aleutian,aleutian_0000,10.0,300.0,8.397713110857973
aleutian,aleutian_0000,10.0,320.0,8.231149665012836
aleutian,aleutian_0000,10.0,340.0,8.095392621919393
aleutian,aleutian_0000,10.0,360.0,7.996690593094566
aleutian,aleutian_0000,10.0,380.0,7.919062167448458
aleutian,aleutian_0000,10.0,400.0,7.75805241097822
aleutian,aleutian_0000,10.0,420.0,7.690236494570939
aleutian,aleutian_0000,10.0,440.0,7.6631314697322725
aleutian,aleutian_0000,10.0,460.0,7.615427490316092
aleutian,aleutian_0000,10.0,480.0,7.607597652561629
aleutian,aleutian_0000,10.0,500.0,7.577954693694129
aleutian,aleutian_0000,10.0,520.0,7.528786798940288
aleutian,aleutian_0000,10.0,540.0,7.464403978213099
aleutian,aleutian_0000,15.0,100.0,8.30869165596932
aleutian,aleutian_0000,15.0,120.0,9.022452771128634
